z_m,T_ci_C,T_co_C
1.358900000000042851e+00,3.795547082933774163e+02,3.468486584214698496e+02
1.371600000000043007e+00,3.790894583968739653e+02,3.468415499819969341e+02
1.384300000000043163e+00,3.786211761444196782e+02,3.468343212405334270e+02
1.397000000000043318e+00,3.781498948349010902e+02,3.468269693968044862e+02
1.409700000000043474e+00,3.776756478981330361e+02,3.468194915163385303e+02
1.422400000000043629e+00,3.771984688841044999e+02,3.468118845218052115e+02
1.435100000000043785e+00,3.767183914514777143e+02,3.468041451836323859e+02
1.447800000000043941e+00,3.762354493552533086e+02,3.467962701098268781e+02
1.460500000000044096e+00,3.757496764335288617e+02,3.467882557349167882e+02
1.473200000000044252e+00,3.752611065932487122e+02,3.467800983079212074e+02
1.485900000000044407e+00,3.747697737948435019e+02,3.467717938792431482e+02
1.498600000000044563e+00,3.742757120356383780e+02,3.467633382863656948e+02
1.511300000000044719e+00,3.737789553318919502e+02,3.467547271382173335e+02
1.524000000000044874e+00,3.732795376993183254e+02,3.467459557980535578e+02
1.536700000000045030e+00,3.727774931319098641e+02,3.467370193646814869e+02
1.549400000000045186e+00,3.722728555788670519e+02,3.467279126518282055e+02
1.562100000000045341e+00,3.717656589194056664e+02,3.467186301654279532e+02
1.574800000000045497e+00,3.712559369351786245e+02,3.467091660785671934e+02
1.587500000000045652e+00,3.707437232800143079e+02,3.466995142037893629e+02
1.600200000000045808e+00,3.702290514466259310e+02,3.466896679624161379e+02
1.612900000000045964e+00,3.697119547298889302e+02,3.466796203504854361e+02
1.625600000000046119e+00,3.691924661862249764e+02,3.466693639008458376e+02
1.638300000000046275e+00,3.686706185885508944e+02,3.466588906408688899e+02
1.651000000000046430e+00,3.681464443761607299e+02,3.466481920451516885e+02
1.663700000000046586e+00,3.676199755988043876e+02,3.466372589824725310e+02
1.676400000000046742e+00,3.670912438540859739e+02,3.466260816561334650e+02
1.689100000000046897e+00,3.665602802171599137e+02,3.466146495366645581e+02
1.701800000000047053e+00,3.660271151614966811e+02,3.466029512856738961e+02
1.714500000000047208e+00,3.654917784692677856e+02,3.465909746693934608e+02
1.727200000000047364e+00,3.649542991296020773e+02,3.465787064601838097e+02
1.739900000000047520e+00,3.644147052226170445e+02,3.465661323239075955e+02
1.752600000000047675e+00,3.638730237866854509e+02,3.465532366906402899e+02
1.765300000000047831e+00,3.633292806658436689e+02,3.465400026056402680e+02
1.778000000000047987e+00,3.627835003335642909e+02,3.465264115568083980e+02
